symptoms_text,disease
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite and  abdominal_pain.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  skin_rash,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  burning_micturition.",Drug Reaction
"I’ve been experiencing  skin_rash,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  burning_micturition.",Drug Reaction
"I’ve been experiencing  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain and  passage_of_gases.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  muscle_wasting,  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat and  high_fever.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat and  high_fever.",AIDS
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  vomiting,  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes and  dehydration.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness and  family_history.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  headache,  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  dizziness and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  dizziness and  loss_of_balance.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression and  irritability.",Migraine
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain and  dizziness.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  vomiting,  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache and  weakness_of_one_body_side.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin and  dark_urine.",Jaundice
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea and  muscle_pain.",Malaria
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise and  muscle_pain.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  abdominal_pain,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea and  toxic_look_(typhos).",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  chills,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos) and  belly_pain.",Typhoid
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  diarrhoea,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing  joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  mild_fever,  yellowing_of_eyes and  muscle_pain.",hepatitis A
"I’ve been experiencing itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  lethargy,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  lethargy,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  abdominal_pain,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  yellow_urine,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
"I’ve been experiencing itching,  fatigue,  lethargy,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  malaise,  receiving_blood_transfusion and  receiving_unsterile_injections.",Hepatitis B
